"Id","ListingCreationYear","Occupation","mean_loanOriginalAmount","median_loanOriginalAmount","sum_loanOriginalAmount","mean_amountDelinquent","median_amountDelinquent","sum_amountDelinquent","mean_investors","median_investors","sum_investors","mean_prosperScore","median_prosperScore","sum_prosperScore","mean_estimatedLoss","median_estimatedLoss","sum_estimatedLoss","mean_estimatedReturn","median_estimatedReturn","sum_estimatedReturn","mean_statedMonthlyIncome","median_statedMonthlyIncome","sum_statedMonthlyIncome","mean_creditScoreRangeLower","median_creditScoreRangeLower","sum_creditScoreRangeLower","mean_monthlyLoanPayment","median_monthlyLoanPayment","sum_monthlyLoanPayment","mean_borrowerAPR","median_borrowerAPR","sum_borrowerAPR","mean_borrowerRate","median_borrowerRate","sum_borrowerRate","mean_debtToIncomeRatio","median_debtToIncomeRatio","sum_debtToIncomeRatio","mean_term","median_term","sum_term","count"
"17",2006,"Doctor",9640,10000,96400,NA,NA,NA,125.6,63.5,1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,12966.6666667,16041.666667,129666.666667,686,680,6860,335.69,351.225,3356.9,0.171566,0.172695,1.71566,0.16437,0.1655,1.6437,0.221,0.185,2.21,36,36,360,10
"18",2006,"Engineer - Chemical",6291.66666666667,4750,37750,NA,NA,NA,60.5,44.5,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,5917.26388883333,5541.6666665,35503.583333,636.666666666667,630,3820,244.73,192.88,1468.38,0.204385,0.23648,1.22631,0.19675,0.229,1.1805,0.231666666666667,0.14,1.39,36,36,216,6
"19",2006,"Engineer - Electrical",6124.31034482759,3750,177605,NA,NA,NA,74.8275862068966,57,2170,NA,NA,NA,NA,NA,NA,NA,NA,NA,6464.56321837931,6250,187472.333333,641.379310344828,620,18600,218.838620689655,137.46,6346.32,0.192366896551724,0.19921,5.57864,0.184510344827586,0.1919,5.3508,0.151379310344828,0.15,4.39,36,36,1044,29
"20",2006,"Engineer - Mechanical",5324.75675675676,4271,197016,NA,NA,NA,72.0810810810811,49,2667,NA,NA,NA,NA,NA,NA,NA,NA,NA,5545.89639635135,5791.666667,205198.166665,648.108108108108,640,23980,190.472162162162,137.81,7047.47,0.18042972972973,0.17671,6.6759,0.171762162162162,0.1695,6.3552,0.20027027027027,0.16,7.41,36,36,1332,37
"21",2006,"Executive",6800.61666666667,4810,816074,NA,NA,NA,89.9166666666667,57,10790,NA,NA,NA,NA,NA,NA,NA,NA,NA,10708.1423610917,7616.6666665,1284977.083331,653,640,78360,236.9625,157.78,28435.5,0.18679875,0.17722,22.41585,0.17869,0.17,21.4428,NA,NA,NA,36,36,4320,120
"22",2006,"Fireman",6036.73333333333,5000,90551,NA,NA,NA,70.9333333333333,59,1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,4469.15555553333,4333.333333,67037.333333,645.333333333333,620,9680,224.49,173.67,3367.35,0.193288,0.19228,2.89932,0.185126666666667,0.185,2.7769,0.27,0.21,4.05,36,36,540,15
"23",2006,"Flight Attendant",4183.33333333333,3650,25100,NA,NA,NA,78.8333333333333,49.5,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,4115,3916.6666665,24690,586.666666666667,540,3520,152.626666666667,131.045,915.76,0.22455,0.253875,1.3473,0.213666666666667,0.24,1.282,0.143333333333333,0.11,0.86,36,36,216,6
"24",2006,"Food Service",4628.3947368421,3000.5,175879,NA,NA,NA,62.2631578947368,38.5,2366,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037.69517542105,1633.3333335,77432.416666,490,590,18620,159.331842105263,109.1,6054.61,0.210416315789474,0.210415,7.99582,0.200502631578947,0.1975,7.6191,NA,NA,NA,36,36,1368,38
"25",2006,"Food Service Management",5672.45,3700,113449,NA,NA,NA,58.45,42.5,1169,NA,NA,NA,NA,NA,NA,NA,NA,NA,3237.10416665,3125,64742.083333,579,550,11580,208.287,130.11,4165.74,0.2090035,0.204835,4.18007,0.201075,0.1975,4.0215,0.187,0.145,3.74,36,36,720,20
"26",2006,"Homemaker",3282.33333333333,3000,78776,NA,NA,NA,52.5833333333333,34,1262,NA,NA,NA,NA,NA,NA,NA,NA,NA,2743.326388875,1570.8333335,65839.833333,561.666666666667,610,13480,114.43125,100.135,2746.35,0.185492083333333,0.172195,4.45181,0.174079166666667,0.165,4.1779,NA,NA,NA,36,36,864,24
"27",2006,"Laborer",2662.15,2000,159729,NA,NA,NA,36.35,21,2181,NA,NA,NA,NA,NA,NA,NA,NA,NA,2604.15,2394.5833335,156249,508,520,30480,96.5231666666667,70.79,5791.39,0.218301333333333,0.21857,13.09808,0.206931666666667,0.201,12.4159,NA,NA,NA,36,36,2160,60
